Adjusted for Inflation Flag,Format,Format (copy),Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (Actual) (copy),Year (copy)
,8 - Track,8 - Track,Units,1976,1976,,$106.1M,1,106.1,$106M,1976
,8 - Track,8 - Track,Units,1977,1977,,$127.3M,1,127.3,$127M,1977
,8 - Track,8 - Track,Units,1978,1978,,$133.6M,1,133.6,$134M,1978
,8 - Track,8 - Track,Units,1979,1979,,$102.3M,1,102.3,$102M,1979
,8 - Track,8 - Track,Units,1980,1980,,$85.0M,1,85,$85M,1980
,8 - Track,8 - Track,Units,1981,1981,,$50.0M,1,50,$50M,1981
,8 - Track,8 - Track,Units,1982,1982,,$13.7M,1,13.7,$14M,1982
,8 - Track,8 - Track,Units,1983,1983,,$0.00,1,0,$0M,1983
,8 - Track,8 - Track,Units,1984,1984,,$0.00,1,0,$0M,1984
,8 - Track,8 - Track,Units,1985,1985,,$0.00,1,0,$0M,1985
,8 - Track,8 - Track,Units,1986,1986,,$0.00,1,0,$0M,1986
,8 - Track,8 - Track,Units,1987,1987,,$0.00,1,0,$0M,1987
,8 - Track,8 - Track,Units,1988,1988,,$0.00,1,0,$0M,1988
,8 - Track,8 - Track,Units,1989,1989,,$0.00,1,0,$0M,1989
,8 - Track,8 - Track,Units,1990,1990,,$0.00,1,0,$0M,1990
,8 - Track,8 - Track,Units,1991,1991,,$0.00,1,0,$0M,1991
,8 - Track,8 - Track,Units,1992,1992,,$0.00,1,0,$0M,1992
,8 - Track,8 - Track,Units,1993,1993,,$0.00,1,0,$0M,1993
,8 - Track,8 - Track,Units,1994,1994,,$0.00,1,0,$0M,1994
,8 - Track,8 - Track,Units,1995,1995,,$0.00,1,0,$0M,1995
,8 - Track,8 - Track,Units,1996,1996,,$0.00,1,0,$0M,1996
,8 - Track,8 - Track,Units,1997,1997,,$0.00,1,0,$0M,1997
,8 - Track,8 - Track,Units,1998,1998,,$0.00,1,0,$0M,1998
,8 - Track,8 - Track,Units,1999,1999,,$0.00,1,0,$0M,1999
,8 - Track,8 - Track,Units,2000,2000,,$0.00,1,0,$0M,2000
,8 - Track,8 - Track,Units,2001,2001,,$0.00,1,0,$0M,2001
,8 - Track,8 - Track,Units,2002,2002,,$0.00,1,0,$0M,2002
,8 - Track,8 - Track,Units,2003,2003,,$0.00,1,0,$0M,2003
,8 - Track,8 - Track,Units,2004,2004,,$0.00,1,0,$0M,2004
,8 - Track,8 - Track,Units,2005,2005,,$0.00,1,0,$0M,2005
,8 - Track,8 - Track,Units,2006,2006,,$0.00,1,0,$0M,2006
,8 - Track,8 - Track,Units,2007,2007,,$0.00,1,0,$0M,2007
,8 - Track,8 - Track,Units,2008,2008,,$0.00,1,0,$0M,2008
,8 - Track,8 - Track,Units,2009,2009,,$0.00,1,0,$0M,2009
,8 - Track,8 - Track,Units,2010,2010,,$0.00,1,0,$0M,2010
,8 - Track,8 - Track,Units,2011,2011,,$0.00,1,0,$0M,2011
,8 - Track,8 - Track,Units,2012,2012,,,1,,,2012
,8 - Track,8 - Track,Units,2013,2013,,,1,,,2013
,8 - Track,8 - Track,Units,2014,2014,,,1,,,2014
,8 - Track,8 - Track,Units,2015,2015,,,1,,,2015
,8 - Track,8 - Track,Units,2016,2016,,,1,,,2016
,8 - Track,8 - Track,Units,2017,2017,,,1,,,2017
,8 - Track,8 - Track,Units,2018,2018,,,1,,,2018
,8 - Track,8 - Track,Units,2019,2019,,,1,,,2019
,Other Tapes,Other Tapes,Units,1973,1973,,$2.2M,1,2.2,$2M,1973
,Other Tapes,Other Tapes,Units,1974,1974,,$1.9M,1,1.9,$2M,1974
,Other Tapes,Other Tapes,Units,1975,1975,,$1.5M,1,1.5,$2M,1975
,Other Tapes,Other Tapes,Units,1976,1976,,$0.7M,1,0.7,$1M,1976
,Other Tapes,Other Tapes,Units,1977,1977,,$0.00,1,0,$0M,1977
,Other Tapes,Other Tapes,Units,1978,1978,,$0.00,1,0,$0M,1978
,Other Tapes,Other Tapes,Units,1979,1979,,$0.00,1,0,$0M,1979
,Other Tapes,Other Tapes,Units,1980,1980,,$0.00,1,0,$0M,1980
,Other Tapes,Other Tapes,Units,1981,1981,,$0.00,1,0,$0M,1981
,Other Tapes,Other Tapes,Units,1982,1982,,$0.00,1,0,$0M,1982
,Other Tapes,Other Tapes,Units,1983,1983,,$0.00,1,0,$0M,1983
,Other Tapes,Other Tapes,Units,1984,1984,,$0.00,1,0,$0M,1984
,Other Tapes,Other Tapes,Units,1985,1985,,$0.00,1,0,$0M,1985
,Other Tapes,Other Tapes,Units,1986,1986,,$0.00,1,0,$0M,1986
,Other Tapes,Other Tapes,Units,1987,1987,,$0.00,1,0,$0M,1987
,Other Tapes,Other Tapes,Units,1988,1988,,$0.00,1,0,$0M,1988
,Other Tapes,Other Tapes,Units,1989,1989,,$0.00,1,0,$0M,1989
,Other Tapes,Other Tapes,Units,1990,1990,,$0.00,1,0,$0M,1990
,Other Tapes,Other Tapes,Units,1991,1991,,$0.00,1,0,$0M,1991
,Other Tapes,Other Tapes,Units,1992,1992,,$0.00,1,0,$0M,1992
