Adjusted for Inflation Flag,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (For Charting),Year (copy)
,,,DVD Audio,Units,2015,2015,,$0.2M,1,0.179506738,0.179506738,2015
,,,DVD Audio,Units,2016,2016,,$0.1M,1,0.085898932,0.085898932,2016
,,,DVD Audio,Units,2017,2017,,$0.1M,1,0.061332251,0.061332251,2017
,,,DVD Audio,Units,2018,2018,,$0.1M,1,0.092803246,0.092803246,2018
,,,DVD Audio,Units,2019,2019,,$0.00,1,0.027982262,0.027982262,2019
,,,SACD,Units,1973,1973,,,1,,,1973
,,,SACD,Units,1974,1974,,,1,,,1974
,,,SACD,Units,1975,1975,,,1,,,1975
,,,SACD,Units,1976,1976,,,1,,,1976
,,,SACD,Units,1977,1977,,,1,,,1977
,,,SACD,Units,1978,1978,,,1,,,1978
,,,SACD,Units,1979,1979,,,1,,,1979
,,,SACD,Units,1980,1980,,,1,,,1980
,,,SACD,Units,1981,1981,,,1,,,1981
,,,SACD,Units,1982,1982,,,1,,,1982
,,,SACD,Units,1983,1983,,,1,,,1983
,,,SACD,Units,1984,1984,,,1,,,1984
,,,SACD,Units,1985,1985,,,1,,,1985
,,,SACD,Units,1986,1986,,,1,,,1986
,,,SACD,Units,1987,1987,,,1,,,1987
,,,SACD,Units,1988,1988,,,1,,,1988
,,,SACD,Units,1989,1989,,,1,,,1989
,,,SACD,Units,1990,1990,,,1,,,1990
,,,SACD,Units,1991,1991,,,1,,,1991
,,,SACD,Units,1992,1992,,,1,,,1992
,,,SACD,Units,1993,1993,,,1,,,1993
,,,SACD,Units,1994,1994,,,1,,,1994
,,,SACD,Units,1995,1995,,,1,,,1995
,,,SACD,Units,1996,1996,,,1,,,1996
,,,SACD,Units,1997,1997,,,1,,,1997
,,,SACD,Units,1998,1998,,,1,,,1998
,,,SACD,Units,1999,1999,,,1,,,1999
,,,SACD,Units,2000,2000,,,1,,,2000
,,,SACD,Units,2001,2001,,,1,,,2001
,,,SACD,Units,2002,2002,,,1,,,2002
,,,SACD,Units,2003,2003,,$1.3M,1,1.3,1.3,2003
,,,SACD,Units,2004,2004,,$0.8M,1,0.8,0.8,2004
,,,SACD,Units,2005,2005,,$0.5M,1,0.5,0.5,2005
,,,SACD,Units,2006,2006,,$0.3M,1,0.3,0.3,2006
,,,SACD,Units,2007,2007,,$0.2M,1,0.2,0.2,2007
,,,SACD,Units,2008,2008,,$0.1M,1,0.1,0.1,2008
,,,SACD,Units,2009,2009,,$0.1M,1,0.1,0.1,2009
,,,SACD,Units,2010,2010,,$0.1M,1,0.1,0.1,2010
,,,SACD,Units,2011,2011,,$0.1M,1,0.1,0.1,2011
,,,SACD,Units,2012,2012,,$0.1M,1,0.065446,0.065446,2012
,,,SACD,Units,2013,2013,,$0.00,1,0.044683,0.044683,2013
,,,SACD,Units,2014,2014,,$0.00,1,0.030486,0.030486,2014
,,,SACD,Units,2015,2015,,$0.00,1,0.041633,0.041633,2015
,,,SACD,Units,2016,2016,,$0.00,1,0.045272,0.045272,2016
,,,SACD,Units,2017,2017,,$0.00,1,0.032749,0.032749,2017
,,,SACD,Units,2018,2018,,$0.00,1,0.032804,0.032804,2018
,,,SACD,Units,2019,2019,,$0.00,1,0.017654,0.017654,2019
,,,Download Single,Units,1973,1973,,,1,,,1973
,,,Download Single,Units,1974,1974,,,1,,,1974
,,,Download Single,Units,1975,1975,,,1,,,1975
,,,Download Single,Units,1976,1976,,,1,,,1976
,,,Download Single,Units,1977,1977,,,1,,,1977
,,,Download Single,Units,1978,1978,,,1,,,1978
,,,Download Single,Units,1979,1979,,,1,,,1979
,,,Download Single,Units,1980,1980,,,1,,,1980
,,,Download Single,Units,1981,1981,,,1,,,1981
,,,Download Single,Units,1982,1982,,,1,,,1982
,,,Download Single,Units,1983,1983,,,1,,,1983
,,,Download Single,Units,1984,1984,,,1,,,1984
,,,Download Single,Units,1985,1985,,,1,,,1985
,,,Download Single,Units,1986,1986,,,1,,,1986
,,,Download Single,Units,1987,1987,,,1,,,1987
,,,Download Single,Units,1988,1988,,,1,,,1988
,,,Download Single,Units,1989,1989,,,1,,,1989
,,,Download Single,Units,1990,1990,,,1,,,1990
,,,Download Single,Units,1991,1991,,,1,,,1991
,,,Download Single,Units,1992,1992,,,1,,,1992
,,,Download Single,Units,1993,1993,,,1,,,1993
,,,Download Single,Units,1994,1994,,,1,,,1994
,,,Download Single,Units,1995,1995,,,1,,,1995
,,,Download Single,Units,1996,1996,,,1,,,1996
,,,Download Single,Units,1997,1997,,,1,,,1997
,,,Download Single,Units,1998,1998,,,1,,,1998
,,,Download Single,Units,1999,1999,,,1,,,1999
,,,Download Single,Units,2000,2000,,,1,,,2000
,,,Download Single,Units,2001,2001,,,1,,,2001
,,,Download Single,Units,2002,2002,,,1,,,2002
,,,Download Single,Units,2003,2003,,,1,,,2003
,,,Download Single,Units,2004,2004,,$139.4M,1,139.4,139.4,2004
,,,Download Single,Units,2005,2005,,$366.9M,1,366.9,366.9,2005
,,,Download Single,Units,2006,2006,,$586.4M,1,586.4,586.4,2006
,,,Download Single,Units,2007,2007,,$819.4M,1,819.4,819.4,2007
,,,Download Single,Units,2008,2008,$1.0B,,1,1042.7,1042.7,2008
,,,Download Single,Units,2009,2009,$1.1B,,1,1124.4,1124.4,2009
,,,Download Single,Units,2010,2010,$1.2B,,1,1177.4,1177.4,2010
,,,Download Single,Units,2011,2011,$1.3B,,1,1332.3,1332.3,2011
,,,Download Single,Units,2012,2012,$1.4B,,1,1402.739373351,1402.739373351,2012
,,,Download Single,Units,2013,2013,$1.3B,,1,1332.795365733,1332.795365733,2013
,,,Download Single,Units,2014,2014,$1.2B,,1,1154.37932687,1154.37932687,2014
,,,Download Single,Units,2015,2015,,$986.3M,1,986.2550359,986.2550359,2015
,,,Download Single,Units,2016,2016,,$743.0M,1,743.003413783,743.003413783,2016
,,,Download Single,Units,2017,2017,,$553.5M,1,553.516151775,553.516151775,2017
,,,Download Single,Units,2018,2018,,$399.8M,1,399.773852346,399.773852346,2018
,,,Download Single,Units,2019,2019,,$335.3M,1,335.339193535,335.339193535,2019
,,,Download Album,Units,1973,1973,,,1,,,1973
,,,Download Album,Units,1974,1974,,,1,,,1974
,,,Download Album,Units,1975,1975,,,1,,,1975
,,,Download Album,Units,1976,1976,,,1,,,1976
,,,Download Album,Units,1977,1977,,,1,,,1977
,,,Download Album,Units,1978,1978,,,1,,,1978
,,,Download Album,Units,1979,1979,,,1,,,1979
,,,Download Album,Units,1980,1980,,,1,,,1980
,,,Download Album,Units,1981,1981,,,1,,,1981
,,,Download Album,Units,1982,1982,,,1,,,1982
,,,Download Album,Units,1983,1983,,,1,,,1983
,,,Download Album,Units,1984,1984,,,1,,,1984
,,,Download Album,Units,1985,1985,,,1,,,1985
,,,Download Album,Units,1986,1986,,,1,,,1986
,,,Download Album,Units,1987,1987,,,1,,,1987
,,,Download Album,Units,1988,1988,,,1,,,1988
,,,Download Album,Units,1989,1989,,,1,,,1989
,,,Download Album,Units,1990,1990,,,1,,,1990
,,,Download Album,Units,1991,1991,,,1,,,1991
,,,Download Album,Units,1992,1992,,,1,,,1992
,,,Download Album,Units,1993,1993,,,1,,,1993
,,,Download Album,Units,1994,1994,,,1,,,1994
,,,Download Album,Units,1995,1995,,,1,,,1995
,,,Download Album,Units,1996,1996,,,1,,,1996
,,,Download Album,Units,1997,1997,,,1,,,1997
,,,Download Album,Units,1998,1998,,,1,,,1998
,,,Download Album,Units,1999,1999,,,1,,,1999
,,,Download Album,Units,2000,2000,,,1,,,2000
,,,Download Album,Units,2001,2001,,,1,,,2001
,,,Download Album,Units,2002,2002,,,1,,,2002
,,,Download Album,Units,2003,2003,,,1,,,2003
,,,Download Album,Units,2004,2004,,$4.6M,1,4.6,4.6,2004
,,,Download Album,Units,2005,2005,,$13.6M,1,13.6,13.6,2005
,,,Download Album,Units,2006,2006,,$27.6M,1,27.6,27.6,2006
,,,Download Album,Units,2007,2007,,$49.8M,1,49.8,49.8,2007
,,,Download Album,Units,2008,2008,,$63.6M,1,63.6,63.6,2008
,,,Download Album,Units,2009,2009,,$74.5M,1,74.5,74.5,2009
,,,Download Album,Units,2010,2010,,$85.8M,1,85.8,85.8,2010
,,,Download Album,Units,2011,2011,,$103.9M,1,103.9,103.9,2011
,,,Download Album,Units,2012,2012,,$116.7M,1,116.733631841,116.733631841,2012
,,,Download Album,Units,2013,2013,,$118.0M,1,117.979213042,117.979213042,2013
,,,Download Album,Units,2014,2014,,$114.2M,1,114.230470801,114.230470801,2014
,,,Download Album,Units,2015,2015,,$106.8M,1,106.783884116,106.783884116,2015
,,,Download Album,Units,2016,2016,,$85.1M,1,85.123349893,85.123349893,2016
,,,Download Album,Units,2017,2017,,$66.4M,1,66.386103763,66.386103763,2017
,,,Download Album,Units,2018,2018,,$49.7M,1,49.734924535,49.734924535,2018
,,,Download Album,Units,2019,2019,,$40.2M,1,40.202712338,40.202712338,2019
,,,Kiosk,Units,1973,1973,,,1,,,1973
,,,Kiosk,Units,1974,1974,,,1,,,1974
,,,Kiosk,Units,1975,1975,,,1,,,1975
,,,Kiosk,Units,1976,1976,,,1,,,1976
,,,Kiosk,Units,1977,1977,,,1,,,1977
,,,Kiosk,Units,1978,1978,,,1,,,1978
,,,Kiosk,Units,1979,1979,,,1,,,1979
,,,Kiosk,Units,1980,1980,,,1,,,1980
,,,Kiosk,Units,1981,1981,,,1,,,1981
,,,Kiosk,Units,1982,1982,,,1,,,1982
,,,Kiosk,Units,1983,1983,,,1,,,1983
,,,Kiosk,Units,1984,1984,,,1,,,1984
,,,Kiosk,Units,1985,1985,,,1,,,1985
,,,Kiosk,Units,1986,1986,,,1,,,1986
,,,Kiosk,Units,1987,1987,,,1,,,1987
,,,Kiosk,Units,1988,1988,,,1,,,1988
,,,Kiosk,Units,1989,1989,,,1,,,1989
,,,Kiosk,Units,1990,1990,,,1,,,1990
,,,Kiosk,Units,1991,1991,,,1,,,1991
,,,Kiosk,Units,1992,1992,,,1,,,1992
,,,Kiosk,Units,1993,1993,,,1,,,1993
,,,Kiosk,Units,1994,1994,,,1,,,1994
,,,Kiosk,Units,1995,1995,,,1,,,1995
,,,Kiosk,Units,1996,1996,,,1,,,1996
,,,Kiosk,Units,1997,1997,,,1,,,1997
,,,Kiosk,Units,1998,1998,,,1,,,1998
,,,Kiosk,Units,1999,1999,,,1,,,1999
,,,Kiosk,Units,2000,2000,,,1,,,2000
,,,Kiosk,Units,2001,2001,,,1,,,2001
,,,Kiosk,Units,2002,2002,,,1,,,2002
,,,Kiosk,Units,2003,2003,,,1,,,2003
,,,Kiosk,Units,2004,2004,,,1,,,2004
,,,Kiosk,Units,2005,2005,,$0.7M,1,0.7,0.7,2005
,,,Kiosk,Units,2006,2006,,$1.4M,1,1.4,1.4,2006
,,,Kiosk,Units,2007,2007,,$1.8M,1,1.8,1.8,2007
,,,Kiosk,Units,2008,2008,,$1.6M,1,1.6,1.6,2008
,,,Kiosk,Units,2009,2009,,$1.7M,1,1.7,1.7,2009
,,,Kiosk,Units,2010,2010,,$1.7M,1,1.7,1.7,2010
,,,Kiosk,Units,2011,2011,,$1.3M,1,1.3,1.3,2011
,,,Kiosk,Units,2012,2012,,$2.0M,1,1.95507,1.95507,2012
,,,Kiosk,Units,2013,2013,,$3.7M,1,3.7442,3.7442,2013
,,,Kiosk,Units,2014,2014,,$1.6M,1,1.592073358,1.592073358,2014
,,,Kiosk,Units,2015,2015,,$2.2M,1,2.202659889,2.202659889,2015
,,,Kiosk,Units,2016,2016,,$1.7M,1,1.74878121,1.74878121,2016
,,,Kiosk,Units,2017,2017,,$1.3M,1,1.322377717,1.322377717,2017
,,,Kiosk,Units,2018,2018,,$1.1M,1,1.097856529,1.097856529,2018
,,,Kiosk,Units,2019,2019,,$0.9M,1,0.899703865,0.899703865,2019
,,,Download Music Video,Units,1973,1973,,,1,,,1973
,,,Download Music Video,Units,1974,1974,,,1,,,1974
,,,Download Music Video,Units,1975,1975,,,1,,,1975
,,,Download Music Video,Units,1976,1976,,,1,,,1976
,,,Download Music Video,Units,1977,1977,,,1,,,1977
,,,Download Music Video,Units,1978,1978,,,1,,,1978
,,,Download Music Video,Units,1979,1979,,,1,,,1979
,,,Download Music Video,Units,1980,1980,,,1,,,1980
,,,Download Music Video,Units,1981,1981,,,1,,,1981
,,,Download Music Video,Units,1982,1982,,,1,,,1982
,,,Download Music Video,Units,1983,1983,,,1,,,1983
,,,Download Music Video,Units,1984,1984,,,1,,,1984
,,,Download Music Video,Units,1985,1985,,,1,,,1985
,,,Download Music Video,Units,1986,1986,,,1,,,1986
,,,Download Music Video,Units,1987,1987,,,1,,,1987
,,,Download Music Video,Units,1988,1988,,,1,,,1988
,,,Download Music Video,Units,1989,1989,,,1,,,1989
,,,Download Music Video,Units,1990,1990,,,1,,,1990
,,,Download Music Video,Units,1991,1991,,,1,,,1991
,,,Download Music Video,Units,1992,1992,,,1,,,1992
,,,Download Music Video,Units,1993,1993,,,1,,,1993
,,,Download Music Video,Units,1994,1994,,,1,,,1994
,,,Download Music Video,Units,1995,1995,,,1,,,1995
,,,Download Music Video,Units,1996,1996,,,1,,,1996
,,,Download Music Video,Units,1997,1997,,,1,,,1997
,,,Download Music Video,Units,1998,1998,,,1,,,1998
,,,Download Music Video,Units,1999,1999,,,1,,,1999
,,,Download Music Video,Units,2000,2000,,,1,,,2000
,,,Download Music Video,Units,2001,2001,,,1,,,2001
,,,Download Music Video,Units,2002,2002,,,1,,,2002
,,,Download Music Video,Units,2003,2003,,,1,,,2003
,,,Download Music Video,Units,2004,2004,,,1,,,2004
,,,Download Music Video,Units,2005,2005,,$1.9M,1,1.9,1.9,2005
,,,Download Music Video,Units,2006,2006,,$9.9M,1,9.9,9.9,2006
,,,Download Music Video,Units,2007,2007,,$14.2M,1,14.2,14.2,2007
,,,Download Music Video,Units,2008,2008,,$20.8M,1,20.8,20.8,2008
,,,Download Music Video,Units,2009,2009,,$20.5M,1,20.5,20.5,2009
,,,Download Music Video,Units,2010,2010,,$18.4M,1,18.4,18.4,2010
,,,Download Music Video,Units,2011,2011,,$16.3M,1,16.3,16.3,2011
,,,Download Music Video,Units,2012,2012,,$10.5M,1,10.473489,10.473489,2012
,,,Download Music Video,Units,2013,2013,,$8.4M,1,8.412464,8.412464,2013
,,,Download Music Video,Units,2014,2014,,$6.8M,1,6.82264392,6.82264392,2014
,,,Download Music Video,Units,2015,2015,,$3.2M,1,3.223325002,3.223325002,2015
,,,Download Music Video,Units,2016,2016,,$2.1M,1,2.145427196,2.145427196,2016
,,,Download Music Video,Units,2017,2017,,$1.4M,1,1.399889693,1.399889693,2017
,,,Download Music Video,Units,2018,2018,,$1.1M,1,1.115985226,1.115985226,2018
,,,Download Music Video,Units,2019,2019,,$0.9M,1,0.93412583,0.93412583,2019
,,,Ringtones & Ringbacks,Units,1973,1973,,,1,,,1973
,,,Ringtones & Ringbacks,Units,1974,1974,,,1,,,1974
,,,Ringtones & Ringbacks,Units,1975,1975,,,1,,,1975
,,,Ringtones & Ringbacks,Units,1976,1976,,,1,,,1976
,,,Ringtones & Ringbacks,Units,1977,1977,,,1,,,1977
,,,Ringtones & Ringbacks,Units,1978,1978,,,1,,,1978
,,,Ringtones & Ringbacks,Units,1979,1979,,,1,,,1979
,,,Ringtones & Ringbacks,Units,1980,1980,,,1,,,1980
,,,Ringtones & Ringbacks,Units,1981,1981,,,1,,,1981
,,,Ringtones & Ringbacks,Units,1982,1982,,,1,,,1982
,,,Ringtones & Ringbacks,Units,1983,1983,,,1,,,1983
,,,Ringtones & Ringbacks,Units,1984,1984,,,1,,,1984
,,,Ringtones & Ringbacks,Units,1985,1985,,,1,,,1985
,,,Ringtones & Ringbacks,Units,1986,1986,,,1,,,1986
,,,Ringtones & Ringbacks,Units,1987,1987,,,1,,,1987
,,,Ringtones & Ringbacks,Units,1988,1988,,,1,,,1988
,,,Ringtones & Ringbacks,Units,1989,1989,,,1,,,1989
,,,Ringtones & Ringbacks,Units,1990,1990,,,1,,,1990
,,,Ringtones & Ringbacks,Units,1991,1991,,,1,,,1991
,,,Ringtones & Ringbacks,Units,1992,1992,,,1,,,1992
,,,Ringtones & Ringbacks,Units,1993,1993,,,1,,,1993
,,,Ringtones & Ringbacks,Units,1994,1994,,,1,,,1994
,,,Ringtones & Ringbacks,Units,1995,1995,,,1,,,1995
,,,Ringtones & Ringbacks,Units,1996,1996,,,1,,,1996
,,,Ringtones & Ringbacks,Units,1997,1997,,,1,,,1997
,,,Ringtones & Ringbacks,Units,1998,1998,,,1,,,1998
,,,Ringtones & Ringbacks,Units,1999,1999,,,1,,,1999
,,,Ringtones & Ringbacks,Units,2000,2000,,,1,,,2000
,,,Ringtones & Ringbacks,Units,2001,2001,,,1,,,2001
,,,Ringtones & Ringbacks,Units,2002,2002,,,1,,,2002
,,,Ringtones & Ringbacks,Units,2003,2003,,,1,,,2003
,,,Ringtones & Ringbacks,Units,2004,2004,,,1,,,2004
,,,Ringtones & Ringbacks,Units,2005,2005,,$170.0M,1,170,170,2005
,,,Ringtones & Ringbacks,Units,2006,2006,,$315.0M,1,315,315,2006
,,,Ringtones & Ringbacks,Units,2007,2007,,$433.8M,1,433.8,433.8,2007
,,,Ringtones & Ringbacks,Units,2008,2008,,$405.1M,1,405.1,405.1,2008
,,,Ringtones & Ringbacks,Units,2009,2009,,$294.3M,1,294.3,294.3,2009
,,,Ringtones & Ringbacks,Units,2010,2010,,$188.5M,1,188.5,188.5,2010
,,,Ringtones & Ringbacks,Units,2011,2011,,$115.4M,1,115.4,115.4,2011
,,,Ringtones & Ringbacks,Units,2012,2012,,$58.8M,1,58.757403556,58.757403556,2012
,,,Ringtones & Ringbacks,Units,2013,2013,,$39.4M,1,39.366235778,39.366235778,2013
,,,Ringtones & Ringbacks,Units,2014,2014,,$26.6M,1,26.632323683,26.632323683,2014
,,,Ringtones & Ringbacks,Units,2015,2015,,$21.9M,1,21.924866054,21.924866054,2015
,,,Ringtones & Ringbacks,Units,2016,2016,,$22.6M,1,22.620785392,22.620785392,2016
,,,Ringtones & Ringbacks,Units,2017,2017,,$14.3M,1,14.262869941,14.262869941,2017
,,,Ringtones & Ringbacks,Units,2018,2018,,$10.0M,1,10.026286725,10.026286725,2018
,,,Ringtones & Ringbacks,Units,2019,2019,,$8.6M,1,8.605769716,8.605769716,2019
,,,Paid Subscriptions,Units,1973,1973,,,1,,,1973
,,,Paid Subscriptions,Units,1974,1974,,,1,,,1974
,,,Paid Subscriptions,Units,1975,1975,,,1,,,1975
,,,Paid Subscriptions,Units,1976,1976,,,1,,,1976
,,,Paid Subscriptions,Units,1977,1977,,,1,,,1977
,,,Paid Subscriptions,Units,1978,1978,,,1,,,1978
,,,Paid Subscriptions,Units,1979,1979,,,1,,,1979
,,,Paid Subscriptions,Units,1980,1980,,,1,,,1980
,,,Paid Subscriptions,Units,1981,1981,,,1,,,1981
,,,Paid Subscriptions,Units,1982,1982,,,1,,,1982
,,,Paid Subscriptions,Units,1983,1983,,,1,,,1983
,,,Paid Subscriptions,Units,1984,1984,,,1,,,1984
,,,Paid Subscriptions,Units,1985,1985,,,1,,,1985
,,,Paid Subscriptions,Units,1986,1986,,,1,,,1986
,,,Paid Subscriptions,Units,1987,1987,,,1,,,1987
,,,Paid Subscriptions,Units,1988,1988,,,1,,,1988
,,,Paid Subscriptions,Units,1989,1989,,,1,,,1989
,,,Paid Subscriptions,Units,1990,1990,,,1,,,1990
,,,Paid Subscriptions,Units,1991,1991,,,1,,,1991
,,,Paid Subscriptions,Units,1992,1992,,,1,,,1992
,,,Paid Subscriptions,Units,1993,1993,,,1,,,1993
,,,Paid Subscriptions,Units,1994,1994,,,1,,,1994
,,,Paid Subscriptions,Units,1995,1995,,,1,,,1995
,,,Paid Subscriptions,Units,1996,1996,,,1,,,1996
,,,Paid Subscriptions,Units,1997,1997,,,1,,,1997
,,,Paid Subscriptions,Units,1998,1998,,,1,,,1998
,,,Paid Subscriptions,Units,1999,1999,,,1,,,1999
,,,Paid Subscriptions,Units,2000,2000,,,1,,,2000
,,,Paid Subscriptions,Units,2001,2001,,,1,,,2001
,,,Paid Subscriptions,Units,2002,2002,,,1,,,2002
,,,Paid Subscriptions,Units,2003,2003,,,1,,,2003
,,,Paid Subscriptions,Units,2004,2004,,,1,,,2004
,,,Paid Subscriptions,Units,2005,2005,,$1.3M,1,1.3,1.3,2005
,,,Paid Subscriptions,Units,2006,2006,,$1.7M,1,1.7,1.7,2006
,,,Paid Subscriptions,Units,2007,2007,,$1.8M,1,1.8,1.8,2007
,,,Paid Subscriptions,Units,2008,2008,,$1.6M,1,1.6,1.6,2008
,,,Paid Subscriptions,Units,2009,2009,,$1.2M,1,1.2,1.2,2009
,,,Paid Subscriptions,Units,2010,2010,,$1.5M,1,1.5,1.5,2010
,,,Paid Subscriptions,Units,2011,2011,,$1.8M,1,1.8,1.8,2011
,,,Paid Subscriptions,Units,2012,2012,,$3.4M,1,3.36,3.36,2012
,,,Paid Subscriptions,Units,2013,2013,,$6.2M,1,6.16,6.16,2013
,,,Paid Subscriptions,Units,2014,2014,,$7.7M,1,7.73,7.73,2014
,,,Paid Subscriptions,Units,2015,2015,,$10.8M,1,10.84,10.84,2015
,,,Paid Subscriptions,Units,2016,2016,,$22.7M,1,22.68,22.68,2016
,,,Paid Subscriptions,Units,2017,2017,,$35.3M,1,35.273501216,35.273501216,2017
,,,Paid Subscriptions,Units,2018,2018,,$46.9M,1,46.91132324,46.91132324,2018
,,,Paid Subscriptions,Units,2019,2019,,$60.4M,1,60.381947607,60.381947607,2019
,,,Paid Subscriptions,Units,1973,1973,,,1,,,1973
,,,Paid Subscriptions,Units,1974,1974,,,1,,,1974
,,,Paid Subscriptions,Units,1975,1975,,,1,,,1975
,,,Paid Subscriptions,Units,1976,1976,,,1,,,1976
,,,Paid Subscriptions,Units,1977,1977,,,1,,,1977
,,,Paid Subscriptions,Units,1978,1978,,,1,,,1978
,,,Paid Subscriptions,Units,1979,1979,,,1,,,1979
,,,Paid Subscriptions,Units,1980,1980,,,1,,,1980
,,,Paid Subscriptions,Units,1981,1981,,,1,,,1981
,,,Paid Subscriptions,Units,1982,1982,,,1,,,1982
,,,Paid Subscriptions,Units,1983,1983,,,1,,,1983
,,,Paid Subscriptions,Units,1984,1984,,,1,,,1984
,,,Paid Subscriptions,Units,1985,1985,,,1,,,1985
,,,Paid Subscriptions,Units,1986,1986,,,1,,,1986
,,,Paid Subscriptions,Units,1987,1987,,,1,,,1987
,,,Paid Subscriptions,Units,1988,1988,,,1,,,1988
,,,Paid Subscriptions,Units,1989,1989,,,1,,,1989
,,,Paid Subscriptions,Units,1990,1990,,,1,,,1990
,,,Paid Subscriptions,Units,1991,1991,,,1,,,1991
,,,Paid Subscriptions,Units,1992,1992,,,1,,,1992
,,,Paid Subscriptions,Units,1993,1993,,,1,,,1993
,,,Paid Subscriptions,Units,1994,1994,,,1,,,1994
,,,Paid Subscriptions,Units,1995,1995,,,1,,,1995
,,,Paid Subscriptions,Units,1996,1996,,,1,,,1996
,,,Paid Subscriptions,Units,1997,1997,,,1,,,1997
,,,Paid Subscriptions,Units,1998,1998,,,1,,,1998
,,,Paid Subscriptions,Units,1999,1999,,,1,,,1999
,,,Paid Subscriptions,Units,2000,2000,,,1,,,2000
,,,Paid Subscriptions,Units,2001,2001,,,1,,,2001
,,,Paid Subscriptions,Units,2002,2002,,,1,,,2002
,,,Paid Subscriptions,Units,2003,2003,,,1,,,2003
,,,Paid Subscriptions,Units,2004,2004,,,1,,,2004
,,,Paid Subscriptions,Units,2005,2005,,$1.3M,1,1.3,1.3,2005
,,,Paid Subscriptions,Units,2006,2006,,$1.7M,1,1.7,1.7,2006
,,,Paid Subscriptions,Units,2007,2007,,$1.8M,1,1.8,1.8,2007
,,,Paid Subscriptions,Units,2008,2008,,$1.6M,1,1.6,1.6,2008
,,,Paid Subscriptions,Units,2009,2009,,$1.2M,1,1.2,1.2,2009
,,,Paid Subscriptions,Units,2010,2010,,$1.5M,1,1.5,1.5,2010
,,,Paid Subscriptions,Units,2011,2011,,$1.8M,1,1.8,1.8,2011
,,,Paid Subscriptions,Units,2012,2012,,$3.4M,1,3.4,3.4,2012
,,,Paid Subscriptions,Units,2013,2013,,$6.2M,1,6.2,6.2,2013
,,,Paid Subscriptions,Units,2014,2014,,$7.7M,1,7.7,7.7,2014
,,,Paid Subscriptions,Units,2015,2015,,$10.8M,1,10.8,10.8,2015
,,,Paid Subscriptions,Units,2016,2016,,$22.7M,1,22.7,22.7,2016
,,,Paid Subscriptions,Units,2017,2017,,$35.3M,1,35.3,35.3,2017
,,,Paid Subscriptions,Units,2018,2018,,$50.2M,1,50.2,50.2,2018
,,,Paid Subscriptions,Units,2019,2019,,,1,,,2019
,,,CD,Value,1973,1973,,,1,,,1973
,,,CD,Value,1974,1974,,,1,,,1974
,,,CD,Value,1975,1975,,,1,,,1975
,,,CD,Value,1976,1976,,,1,,,1976
,,,CD,Value,1977,1977,,,1,,,1977
,,,CD,Value,1978,1978,,,1,,,1978
,,,CD,Value,1979,1979,,,1,,,1979
