Format,Metric,Year,Actual_Value,Mode
CD Single,Value (Adjusted),1995,186.039116142,Digital
CD Single,Value (Adjusted),1996,299.977397706,Digital
CD Single,Value (Adjusted),1997,434.377968224,Digital
CD Single,Value (Adjusted),1998,334.393082209,Digital
CD Single,Value (Adjusted),1999,341.285214886,Digital
CD Single,Value (Adjusted),2000,211.859778746,Digital
CD Single,Value (Adjusted),2001,114.619795596,Digital
CD Single,Value (Adjusted),2002,27.853680934,Digital
CD Single,Value (Adjusted),2003,50.019847826,Digital
CD Single,Value (Adjusted),2004,20.300979354000003,Digital
CD Single,Value (Adjusted),2005,14.268619048,Digital
CD Single,Value (Adjusted),2006,9.764677082999999,Digital
CD Single,Value (Adjusted),2007,15.045901592,Digital
CD Single,Value (Adjusted),2008,4.156001078,Digital
CD Single,Value (Adjusted),2009,3.694172567,Digital
CD Single,Value (Adjusted),2010,3.4000683310000004,Digital
CD Single,Value (Adjusted),2011,3.977965137,Digital
CD Single,Value (Adjusted),2012,3.59119832,Digital
CD Single,Value (Adjusted),2013,2.684056894,Digital
CD Single,Value (Adjusted),2014,3.905023683,Digital
CD Single,Value (Adjusted),2015,1.291079457,Digital
CD Single,Value (Adjusted),2016,0.280361354,Digital
CD Single,Value (Adjusted),2017,1.542258972,Digital
CD Single,Value (Adjusted),2018,0.157981482,Digital
CD Single,Value (Adjusted),2019,0.181678878,Digital
Cassette,Value (Adjusted),1973,437.611081081,Analog
Cassette,Value (Adjusted),1974,452.19655983800004,Analog
Cassette,Value (Adjusted),1975,469.49649814099996,Analog
Cassette,Value (Adjusted),1976,654.6436713530001,Analog
Cassette,Value (Adjusted),1977,1053.003089109,Analog
Cassette,Value (Adjusted),1978,1763.7196104289999,Analog
Cassette,Value (Adjusted),1979,2044.551710744,Analog
Cassette,Value (Adjusted),1980,2187.356614078,Analog
Cassette,Value (Adjusted),1981,2989.1337689770007,Analog
Cassette,Value (Adjusted),1982,3667.9493937820002,Analog
Cassette,Value (Adjusted),1983,4648.285756024,Analog
Cassette,Value (Adjusted),1984,5865.839483156999,Analog
Cassette,Value (Adjusted),1985,5729.710552974,Analog
Cassette,Value (Adjusted),1986,5830.425834854002,Analog
Cassette,Value (Adjusted),1987,6660.8100607390015,Analog
Cassette,Value (Adjusted),1988,7315.507275571,Analog
Cassette,Value (Adjusted),1989,6898.20315,Analog
Cassette,Value (Adjusted),1990,6792.2216281559995,Analog
Cassette,Value (Adjusted),1991,5668.002035242,Analog
Cassette,Value (Adjusted),1992,5678.5738353530005,Analog
Cassette,Value (Adjusted),1993,5158.786716955,Analog
Cassette,Value (Adjusted),1994,5134.531004049,Analog
Cassette,Value (Adjusted),1995,3864.379692913,Analog
Cassette,Value (Adjusted),1996,3104.54609369,Analog
Cassette,Value (Adjusted),1997,2425.476099065,Analog
Cassette,Value (Adjusted),1998,2227.039106135,Analog
Cassette,Value (Adjusted),1999,1629.0844609839999,Analog
Cassette,Value (Adjusted),2000,929.3918815330001,Analog
Cassette,Value (Adjusted),2001,524.594883117,Analog
Cassette,Value (Adjusted),2002,298.148074486,Analog
Cassette,Value (Adjusted),2003,150.1984875,Analog
Cassette,Value (Adjusted),2004,32.07554738,Analog
Cassette,Value (Adjusted),2005,17.14852381,Analog
Cassette,Value (Adjusted),2006,4.69211756,Analog
Cassette,Value (Adjusted),2007,3.699811867,Analog
Cassette,Value (Adjusted),2008,1.068685991,Analog
Cassette Single,Value (Adjusted),1987,32.182175176,Analog
Cassette Single,Value (Adjusted),1988,123.830482671,Analog
Cassette Single,Value (Adjusted),1989,401.21655,Analog
Cassette Single,Value (Adjusted),1990,504.467791125,Analog
Cassette Single,Value (Adjusted),1991,432.477039648,Analog
Cassette Single,Value (Adjusted),1992,544.47834355,Analog
Cassette Single,Value (Adjusted),1993,528.121899654,Analog
Cassette Single,Value (Adjusted),1994,474.224759109,Analog
Cassette Single,Value (Adjusted),1995,396.40255315,Analog
Cassette Single,Value (Adjusted),1996,308.450414914,Analog
Cassette Single,Value (Adjusted),1997,212.64928037400003,Analog
Cassette Single,Value (Adjusted),1998,148.061477301,Analog
Cassette Single,Value (Adjusted),1999,73.658679472,Analog
Cassette Single,Value (Adjusted),2000,6.829397212999999,Analog
Cassette Single,Value (Adjusted),2001,-7.650943535,Analog
Cassette Single,Value (Adjusted),2002,-2.273769872,Analog
DVD Audio,Value (Adjusted),2001,8.661445511,Digital
DVD Audio,Value (Adjusted),2002,12.079402446,Digital
DVD Audio,Value (Adjusted),2003,11.115521739,Digital
DVD Audio,Value (Adjusted),2004,8.797091052999999,Digital
DVD Audio,Value (Adjusted),2005,14.661333333,Digital
DVD Audio,Value (Adjusted),2006,3.043535714,Digital
DVD Audio,Value (Adjusted),2007,3.453157742,Digital
DVD Audio,Value (Adjusted),2008,1.424914655,Digital
DVD Audio,Value (Adjusted),2009,1.906669712,Digital
DVD Audio,Value (Adjusted),2010,1.05519362,Digital
DVD Audio,Value (Adjusted),2011,0.34096844,Digital
DVD Audio,Value (Adjusted),2012,0.20389289,Digital
DVD Audio,Value (Adjusted),2013,-0.544116778,Digital
DVD Audio,Value (Adjusted),2014,2.310456232,Digital
DVD Audio,Value (Adjusted),2015,5.842187676,Digital
DVD Audio,Value (Adjusted),2016,3.020431045,Digital
DVD Audio,Value (Adjusted),2017,2.718901189,Digital
DVD Audio,Value (Adjusted),2018,3.377493968,Digital
